ID,Created,Name,Description,Playlist URL
fec4e2d1b16e47ac86f60b9ec2ffdb31,2025-12-29T05:27:24Z,Primetime,"Songs from TV shows
Rule: Name the TV show in your comment when submitting. 

theme provided by Margaret",https://open.spotify.com/playlist/1XsGcGB9uSYTtreLMn9Zbl
1e57882e2e85492395f61a360dabae81,2025-12-29T07:25:58Z,"Easy as 1, 2, 3","Songs with numbers in the title, like genuine numbers, not spelled out. 

theme provided by Sasha",https://open.spotify.com/playlist/3TNkwzQWkDKbQvMtvDg3Yn
